SKU;Produk;Qty;Harga Satuan;Diskon;Harga Jual Setelah Diskon;Harga rata rata;Cogs;Gross Profit;Gross Profit %;% Penjualan;Metode Pembayaran
Juice;;;;;;;;;;;
000403;Melon Varde;11;187000;8500;178500;16227.27;0;178500;100.00 %;;Cash, QRIS BCA, Qris BTN, QRIS BRI
000405;Fruit Punch;3;72000;0;72000;24000;0;72000;100.00 %;;Qris BTN, QRIS BRI
000402;Mango LIght;26;494000;5700;488300;18780.77;0;488300;100.00 %;;Cash, Qris BTN, QRIS BRI
000401;Strawberry Heart;17;323000;2850;320150;18832.35;0;320150;100.00 %;;Cash, Qris BTN, QRIS BRI, QRIS BCA
000404;Dragon Purple;11;187000;0;187000;17000;0;187000;100.00 %;;Qris BTN, Cash
TOTAL Juice;;68;1263000;17050;1245950;;0;1245950;100.00 %;0.00 %;
Snack;;;;;;;;;;;
000079;Chicken Skin;8;144000;0;144000;18000;12638.8;131361.2;91.22 %;;QRIS BCA, Qris BTN, Cash, Debit Card
000075;Korean Chicken Wings;7;154000;0;154000;22000;28756.7;125243.3;81.33 %;;Cash, Qris BTN, QRIS BRI, QRIS BCA
000351;Tahu Cabe Garam;18;360000;22000;338000;18777.78;0;338000;100.00 %;;QRIS BCA, Qris BTN, Cash, QRIS BRI
000084;Mushroom Crispy;9;162000;0;162000;18000;39077.55;122922.45;75.88 %;;Debit Card, Qris BTN, QRIS BRI, Cash
000350;Bolognese Fries;7;140000;0;140000;20000;0;140000;100.00 %;;QRIS BRI, Qris BTN, Cash
000087;Banana Fritters;36;648000;22500;625500;17375;186995;438505;70.10 %;;Cash, Qris BTN, QRIS BRI, QRIS BCA, Debit Card, Debit
000086;Banana Katsu;15;270000;0;270000;18000;190395;79605;29.48 %;;QRIS BRI, Cash, Qris BTN, QRIS BCA
000077;Sambel Matah Fries;5;90000;5400;84600;16920;32875.4;51724.6;61.14 %;;QRIS BRI, Qris BTN
000085;Tahu Crispy;3;54000;0;54000;18000;10343.55;43656.45;80.85 %;;Qris BTN, Cash
000080;Onion Ring's;22;396000;0;396000;18000;88255.2;307744.8;77.71 %;;QRIS BRI, Cash, Qris BTN, Debit Card, QRIS BCA
000078;Mix Platter;179;3938000;38500;3899500;21784.92;694888.74;3204611.26;82.18 %;;Cash, QRIS BRI, Qris BTN, QRIS BCA, Debit Card, Debit
000081;Permesan Truffle Fries;24;432000;19800;412200;17175;177422.88;234777.12;56.96 %;;QRIS BRI, Cash, Qris BTN, Debit Card, Debit
000083;Churros;74;1332000;20700;1311300;17720.27;157472;1153828;87.99 %;;Qris BTN, QRIS BRI, Cash, QRIS BCA, Debit Card
000082;Potato Wedges;9;162000;4500;157500;17500;9889.65;147610.35;93.72 %;;Cash, QRIS BRI, Qris BTN
000076;Meet Platter;53;1590000;39000;1551000;29264.15;303107;1247893;80.46 %;;Qris BTN, Cash, QRIS BRI, QRIS BCA, Debit
TOTAL Snack;;469;9872000;172400;9699600;;1932117.47;7767482.53;80.08 %;0.00 %;
Special Soup & Bakmi;;;;;;;;;;;
000089;Tom Yum;9;252000;15400;236600;26288.89;79368.39;157231.61;66.45 %;;Cash, Qris BTN, Debit Card, QRIS BRI
000088;Sapo Tahu;6;168000;9800;158200;26366.67;70022.31;88177.69;55.74 %;;Debit Card, Cash, Qris BTN
TOTAL Special Soup & Bakmi;;15;420000;25200;394800;;149390.7;245409.3;62.16 %;0.00 %;
Family Set;;;;;;;;;;;
000341;Ayam Telur Asin;2;50000;0;50000;25000;0;50000;100.00 %;;Cash, QRIS BRI
000348;Kailan Cah Sapi;1;28000;0;28000;28000;0;28000;100.00 %;;Cash
000339;Ayam Goreng;11;275000;3750;271250;24659.09;0;271250;100.00 %;;Cash, Qris BTN, QRIS BCA, QRIS BRI
000344;TOMYUM;7;196000;7000;189000;27000;0;189000;100.00 %;;Qris BTN, Cash, QRIS BRI
000337;Bebek Goreng;10;300000;13500;286500;28650;0;286500;100.00 %;;Cash, QRIS BCA, QRIS BRI, Qris BTN, Debit Card
000347;Kailan 2 Rasa;1;25000;0;25000;25000;0;25000;100.00 %;;Debit Card
000349;Sapo Tahu;9;252000;0;252000;28000;0;252000;100.00 %;;Debit Card, Qris BTN, QRIS BRI, Cash
000340;Ayam Bakar;25;625000;22500;602500;24100;0;602500;100.00 %;;Qris BTN, QRIS BRI, Cash
TOTAL Family Set;;66;1751000;46750;1704250;;0;1704250;100.00 %;0.00 %;
Frapuccino coffe;;;;;;;;;;;
000386;Caramello Salt Cookies;60;1560000;14300;1545700;25761.67;0;1545700;100.00 %;;Cash, Qris BTN, QRIS BRI, Debit Card, QRIS BCA
000385;Chip Java N Cream;12;312000;19500;292500;24375;0;292500;100.00 %;;QRIS BRI, Qris BTN, Cash
000387;Tiramizu Luxe;17;442000;10400;431600;25388.24;0;431600;100.00 %;;QRIS BRI, Cash, Debit Card, Qris BTN, QRIS BCA
TOTAL Frapuccino coffe;;89;2314000;44200;2269800;;0;2269800;100.00 %;0.00 %;
Ricebowl Series;;;;;;;;;;;
000057;Chicken Sambal Matah ricebowl;61;1647000;47250;1599750;26225.41;277027.165;1322722.835;82.68 %;;Qris BTN, Cash, QRIS BRI, QRIS BCA, Debit Card
